Title,Price,SKU,Vendor,Product Type,Description,Images
Elastic Waist Pants,6.99,PN9021 Bitter Coffee 36,GLORY,Trousers,"<p><meta charset=""utf-8""><span class=""BZ_Pyq_fadeIn"">Wide </span><span class=""BZ_Pyq_fadeIn"">leg </span><span class=""BZ_Pyq_fadeIn"">pants </span><span class=""BZ_Pyq_fadeIn"">with </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">normal </span><span class=""BZ_Pyq_fadeIn"">waist </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">elastic </span><span class=""BZ_Pyq_fadeIn"">waistband. </span><span class=""BZ_Pyq_fadeIn"">Designed </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">comfort </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">effortless </span><span class=""BZ_Pyq_fadeIn"">style, </span><span class=""BZ_Pyq_fadeIn"">this </span><span class=""BZ_Pyq_fadeIn"">versatile </span><span class=""BZ_Pyq_fadeIn"">piece </span><span class=""BZ_Pyq_fadeIn"">offers </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">relaxed </span><span class=""BZ_Pyq_fadeIn"">silhouette </span><span class=""BZ_Pyq_fadeIn"">that </span><span class=""BZ_Pyq_fadeIn"">works </span><span class=""BZ_Pyq_fadeIn"">perfectly </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">casual </span><span class=""BZ_Pyq_fadeIn"">daily </span><span class=""BZ_Pyq_fadeIn"">outfits </span><span class=""BZ_Pyq_fadeIn"">or </span><span class=""BZ_Pyq_fadeIn"">modern </span><span class=""BZ_Pyq_fadeIn"">street </span><span class=""BZ_Pyq_fadeIn"">looks.</span></p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-1.jpg?v=1774869900, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-1.jpg?v=1773865022, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-2.jpg?v=1774869898, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-1.jpg?v=1773865016, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-3.jpg?v=1774869897, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-2.jpg?v=1773865021, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-4.jpg?v=1774869896, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-1.jpg?v=1773865010, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-5.jpg?v=1774869895, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-3.jpg?v=1773865020, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660828-6.jpg?v=1774869894, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-2.jpg?v=1773865097, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-4.jpg?v=1773865019, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-6.jpg?v=1773865005, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-5.jpg?v=1773865018, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-3.jpg?v=1773865015, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608K78-6.jpg?v=1773865017, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-2.jpg?v=1773865009, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-4.jpg?v=1773865013, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-5.jpg?v=1773865006, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-5.jpg?v=1773865012, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-3.jpg?v=1773865008, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036608221-6.jpg?v=1773865011, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003660803-4.jpg?v=1773865007"
Double Waistband Trousers,19.99,PN1433 Black XS,LUPİN,Trousers,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Stylish mid-rise pants with tie waist and double belt details in a vibrant color. Comfortable fit with chic design makes them perfect for casual or evening outfits.<br></p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-1.jpg?v=1774870571, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-1.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-2.jpg?v=1774870570, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-2.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-3.jpg?v=1774870569, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-3.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-4.jpg?v=1774870568, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-4.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-5.jpg?v=1774870567, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-5.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-6.jpg?v=1774870566, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688828-6.webp?v=1774442412, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688826-7.jpg?v=1774870565, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-1.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-2.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-3.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-4.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-5.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-6.webp?v=1778053045, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003688803-7.webp?v=1778053045"
Crew Neck Basic T-shirt,5.99,P1903 Black S,MOON,T-Shirt,"<p><meta charset=""utf-8"">This crew neck short sleeve basic t-shirt features a clean solid color and a timeless design. Crafted for everyday comfort, it pairs effortlessly with jeans, skirts, or layered pieces, offering a versatile and minimalist style perfect for casual outfits.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B60-1.jpg?v=1778739887, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-1.jpg?v=1774870143, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B60-2.jpg?v=1778739882, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-1.jpg?v=1772660592, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B60-3.jpg?v=1778739877, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-2.jpg?v=1774870142, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B60-4.jpg?v=1778739873, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-1.jpg?v=1772660586, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B60-5.jpg?v=1778739869, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-3.jpg?v=1774870141, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-2.jpg?v=1772660591, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-4.jpg?v=1774870140, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-1.jpg?v=1772660579, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-5.jpg?v=1774870139, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-3.jpg?v=1772660590, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796Z55-6.jpg?v=1774870138, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-2.jpg?v=1772660585, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-4.jpg?v=1772660589, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-6.jpg?v=1772660574, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-5.jpg?v=1772660588, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-3.jpg?v=1772660584, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036796B02-6.jpg?v=1772660587, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-2.jpg?v=1772660578, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-4.jpg?v=1772660583, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-5.jpg?v=1772660575, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-5.jpg?v=1772660582, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-3.jpg?v=1772660577, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679628-6.jpg?v=1772660580, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003679603-4.jpg?v=1772660576"
Strappy Neck Bodysuit,5.99,Z0706 Black XS,CHICORY,Bodysuit,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Sleek halter neck, sleeveless solid color double layer bodysuit. Soft and supportive fit makes it perfect for comfortable and stylish day to night looks.<br></p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-1.webp?v=1774440439, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-2.webp?v=1774440439, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-3.webp?v=1774440439, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-4.webp?v=1774440439, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-5.webp?v=1774440439, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003656403-6.webp?v=1774440439"
Floral Print Crop T-shirt,2.99,P1831 White S,MOON,T-Shirt,"<p>This crew-neck, short-sleeve crop t-shirt features a charming floral print, offering a comfortable and lightweight fit. Perfect for casual summer looks, it adds a stylish and playful touch to your wardrobe.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-1.jpg?v=1756945082, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-2.jpg?v=1756945086, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-3.jpg?v=1756945090, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-4.jpg?v=1756945093, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-5.jpg?v=1756945096, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003562602-6.jpg?v=1756945100"
Zippered Hand and Shoulder Bag,4.99,Ç6006 White,SKY,Bag,"<p>This bag features a zip closure and belt detail, designed without lining for a lightweight feel. With a removable strap, it can be styled as both a handbag and a shoulder bag, offering versatile use for everyday or occasion wear.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035489536-1.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035489536-2.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035489536-3.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-1.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-2.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-3.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-4.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-5.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548913-6.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548903-1.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548903-2.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548903-3.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548902-1.jpg?v=1755866777, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548902-2.jpg?v=1755866778, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548902-3.jpg?v=1755866778, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003548902-4.jpg?v=1755866778"
Bow Patterned Tote Bag,7.99,Ç5002 Beige,LOVE,Bag,"<p>Designed for elevated comfort, this bag showcases zip closure. Its balanced silhouette makes it perfect for versatile outfits. Add this refined essential to your rotation for year-round wear.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003537143-1.jpg?v=1755866937, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003537143-2.jpg?v=1755866937, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003537143-3.jpg?v=1755866937, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003537143-5.jpg?v=1755866937"
Printed Short Sleeve T-Shirt,4.99,P10446 Ecru S,CHERRY,T-Shirt,<p>This t-shirt is tailored with dropped shoulders. Its balanced silhouette makes it perfect for versatile outfits. An easy-to-style option that transitions from day to evening effortlessly.</p>,"https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-1.jpg?v=1755867036, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-2.jpg?v=1755867036, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-3.jpg?v=1755867036, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-4.jpg?v=1755867036, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-5.jpg?v=1755867036, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00035022B02-6.jpg?v=1755867036"
Short Sleeve Printed T-shirt,4.99,P10426 Ecru S,CHERRY,T-Shirt,<p>This t-shirt is tailored with a clean silhouette and considered finishing. It provides breathable wearability and a flattering shape for any setting. An easy-to-style option that transitions from day to evening effortlessly.</p>,"https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034682B02-1.jpg?v=1755867137, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034682B02-2.jpg?v=1755867137, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034682B02-4.jpg?v=1755867137, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034682B02-5.jpg?v=1755867137"
Short Sleeve Printed T-shirt,5.99,P1735 Night Blue S,MOON,T-Shirt,"<p>A staple for every wardrobe, this t-shirt includes a clean silhouette and considered finishing. Perfect for daily styling, from casual pairings to smart combinations. Whether you're layering or wearing solo, this piece adapts to every moment.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-1.jpg?v=1775735088, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-1.jpg?v=1775735081, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-2.jpg?v=1775735087, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-1.jpg?v=1755867212, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-3.jpg?v=1775735086, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-2.jpg?v=1775735080, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-4.jpg?v=1775735085, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-2.jpg?v=1755867212, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-5.jpg?v=1775735083, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-3.jpg?v=1775735079, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z52-6.jpg?v=1775735082, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-3.jpg?v=1755867212, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-4.jpg?v=1775735077, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-4.jpg?v=1755867212, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-5.jpg?v=1775735076, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-5.jpg?v=1755867212, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034373Z51-6.jpg?v=1775735075, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003437328-6.jpg?v=1755867212"
Boat Neck Printed T-shirt,6.99,P1718 Snow Melange S,MOON,T-Shirt,"<p>This t-shirt is tailored with dropped shoulders. Perfect for daily styling, from casual pairings to smart combinations. The ideal blend of comfort, durability, and chic design for your wardrobe.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-1.jpg?v=1755867246, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-2.jpg?v=1755867246, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-3.jpg?v=1755867246, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-4.jpg?v=1755867246, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-5.jpg?v=1755867247, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00034261D33-6.jpg?v=1755867247"
Star-Studded Tank Top,4.99,A9027 Black S,GLORY,Tank Top,"<p><meta charset=""utf-8"">U neck strappy solid color body hugging tank top with star stone details. Soft and comfortable for daily wear. Stones are glued.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-1.jpg?v=1774870830, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-6.jpg?v=1774870825, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-2.jpg?v=1774870829, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-5.jpg?v=1774870826, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-3.jpg?v=1774870828, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003706203-4.jpg?v=1774870827"
Diamond Pattern Knit Cardigan,17.99,H0498 Brown STD,PEONY,Knit Cardigan,"<p><meta charset=""utf-8"">Crew neck long sleeve buttoned knit cardigan with argyle pattern. Soft and comfortable texture offers a classic and stylish look for everyday wear.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-1.jpg?v=1774870792, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-1.jpg?v=1774870784, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-2.jpg?v=1774870790, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-6.jpg?v=1774870779, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-3.jpg?v=1774870789, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-2.jpg?v=1774870783, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-4.jpg?v=1774870788, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-5.jpg?v=1774870780, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-5.jpg?v=1774870787, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-3.jpg?v=1774870782, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-6.jpg?v=1774870786, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702613-4.jpg?v=1774870781, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702628-7.jpg?v=1774870785"
Sequin Embroidered Short Sleeve Knit,6.99,K0573 Brown STD,PEONY,Jumper,"<p><meta charset=""utf-8"">Polo collar short sleeve t shirt with buttoned and embroidered details. Soft fabric ensures comfort and a stylish casual look for everyday outfits.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-1.jpg?v=1774870798, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-6.jpg?v=1774870793, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-2.jpg?v=1774870797, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-5.jpg?v=1774870794, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-3.jpg?v=1774870796, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003702813-4.jpg?v=1774870795"
Ruched Sleeveless Blouse,4.99,A19157 Bitter Coffee S,INFINITY,Tank Top,"<p><meta charset=""utf-8"">Crew neck sleeveless blouse with ruching detail. Soft and lightweight fabric offers a comfortable and stylish look for everyday outfits.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-1.jpg?v=1774870604, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-1.jpg?v=1774870597, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-2.jpg?v=1774870603, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-1.jpg?v=1774870591, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-3.jpg?v=1774870601, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-2.jpg?v=1774870596, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-4.jpg?v=1774870600, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-6.jpg?v=1774870586, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-5.jpg?v=1774870599, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-3.jpg?v=1774870595, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K78-6.jpg?v=1774870598, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-2.jpg?v=1774870590, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-4.jpg?v=1774870594, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-5.jpg?v=1774870587, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-5.jpg?v=1774870593, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-3.jpg?v=1774870589, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00036906K36-6.jpg?v=1774870592, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003690602-4.jpg?v=1774870588"
Striped Printed T-shirt,7.99,P10678 Lotus-Brown S,CHERRY,T-Shirt,<p>Crew neck short sleeve drop shoulder striped t shirt with text print and relaxed fit. Soft fabric ensures comfort and a casual stylish look for everyday outfits.</p>,"https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-1.jpg?v=1774870918, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-6.jpg?v=1774870912, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-2.jpg?v=1774870916, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-5.jpg?v=1774870913, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-3.jpg?v=1774870915, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037152Z125-4.jpg?v=1774870914"
Striped Cherry T-shirt,2.99,P18972 Dark Night Blue S,INFINITY,T-Shirt,"<p><meta charset=""utf-8"">Crew neck short sleeve drop shoulder striped t shirt with cherry print and relaxed fit. Soft fabric ensures comfort and a playful, stylish look for everyday outfits.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-1.jpg?v=1774870730, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-6.jpg?v=1774870725, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-2.jpg?v=1774870729, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-5.jpg?v=1774870726, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-3.jpg?v=1774870728, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003699728-4.jpg?v=1774870727"
Side Ruched Striped T-shirt,6.99,P19353 Brown - Ecru S,INFINITY,T-Shirt,"<p><meta charset=""utf-8"">Boat neck short sleeve striped t shirt with side ruching detail. Soft and comfortable fabric offers a relaxed and stylish look for everyday wear.</p>","https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-1.jpg?v=1774870872, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-1.jpg?v=1774870866, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-2.jpg?v=1774870871, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-1.jpg?v=1774870860, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-3.jpg?v=1774870870, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-2.jpg?v=1774870865, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-4.jpg?v=1774870869, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-7.jpg?v=1774870854, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-5.jpg?v=1774870868, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-3.jpg?v=1774870864, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112K139-6.jpg?v=1774870867, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-2.jpg?v=1774870859, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-4.jpg?v=1774870863, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-6.jpg?v=1774870855, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-5.jpg?v=1774870862, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-3.jpg?v=1774870858, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-0003711272-6.jpg?v=1774870861, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-5.jpg?v=1774870856, https://cdn.shopify.com/s/files/1/0593/7466/5833/files/ADX-00037112341-4.jpg?v=1774870857"
